- Software Admin Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 28-10-2024; Hora: 10:20:48
2 - Software Admin Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 11:16:17
2 - Software Admin Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 11:25:29
2 - Software Admin Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 11:27:09
2 - Software Admin Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 11:27:48
2 - Software Admin Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 28-10-2024; Hora: 11:36:21
ID: 2 - Nombre: Software Admin Software - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 28-10-2024; Hora: 11:38:32
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 28-10-2024; Hora: 11:38:34
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 12:11:41
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 12:43:50
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 12:52:53
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 12:53:12
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 12:54:30
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 12:54:58
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 13:04:55
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 13:10:14
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 13:39:04
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 13:52:17
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 17:00:35
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 17:02:12
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 28-10-2024; Hora: 17:45:24
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 28-10-2024; Hora: 18:05:51
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 28-10-2024; Hora: 18:11:53

